Date,Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2007,5,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,6,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2007,7,0.0,0.0,6.0,1.0,4.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0
2007,8,0.0,4.0,13.0,6.0,9.0,4.0,4.0,2.0,6.0,5.0,2.0,0.0,1.0,3.0,0.0,4.0
2007,9,0.0,0.0,8.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2007,10,0.0,1.0,11.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2007,11,1.0,1.0,11.0,9.0,5.0,6.0,4.0,4.0,6.0,10.0,1.0,4.0,0.0,0.0,0.0,4.0
2007,12,0.0,1.0,6.0,2.0,7.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
2008,1,1.0,2.0,14.0,7.0,7.0,6.0,7.0,2.0,5.0,6.0,2.0,2.0,0.0,4.0,1.0,3.0
2008,2,1.0,0.0,12.0,3.0,5.0,4.0,6.0,2.0,2.0,7.0,2.0,1.0,0.0,3.0,0.0,1.0
2008,3,6.0,1.0,14.0,7.0,5.0,4.0,7.0,2.0,7.0,6.0,3.0,4.0,0.0,0.0,1.0,4.0
2008,4,2.0,1.0,11.0,3.0,2.0,1.0,5.0,1.0,4.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0
2008,5,0.0,1.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0
2008,6,1.0,3.0,10.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0
2008,7,1.0,4.0,12.0,11.0,7.0,3.0,6.0,1.0,2.0,10.0,5.0,2.0,0.0,0.0,1.0,5.0
2008,8,2.0,3.0,10.0,10.0,3.0,3.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,1.0,4.0
2008,9,5.0,6.0,17.0,12.0,11.0,9.0,9.0,9.0,7.0,12.0,7.0,7.0,3.0,7.0,1.0,7.0
2008,10,13.0,14.0,19.0,17.0,17.0,15.0,12.0,14.0,17.0,16.0,14.0,15.0,10.0,16.0,9.0,13.0
2008,11,10.0,13.0,15.0,15.0,16.0,14.0,13.0,12.0,12.0,15.0,11.0,13.0,5.0,6.0,4.0,14.0
2008,12,6.0,9.0,16.0,13.0,17.0,10.0,11.0,9.0,9.0,8.0,7.0,8.0,2.0,5.0,4.0,10.0
2009,1,3.0,5.0,14.0,12.0,16.0,8.0,12.0,7.0,9.0,12.0,8.0,8.0,1.0,0.0,0.0,8.0
2009,2,3.0,6.0,10.0,9.0,11.0,4.0,8.0,5.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0
2009,3,7.0,7.0,14.0,15.0,15.0,12.0,13.0,8.0,9.0,10.0,10.0,9.0,2.0,6.0,7.0,10.0
2009,4,2.0,6.0,11.0,12.0,14.0,7.0,8.0,4.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0
2009,5,0.0,4.0,14.0,10.0,14.0,4.0,6.0,5.0,6.0,9.0,8.0,4.0,1.0,3.0,0.0,4.0
2009,6,2.0,4.0,5.0,3.0,5.0,0.0,4.0,2.0,5.0,4.0,4.0,1.0,0.0,1.0,2.0,4.0
2009,7,2.0,3.0,7.0,4.0,7.0,1.0,2.0,2.0,6.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0
2009,8,1.0,2.0,6.0,5.0,6.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0
2009,9,0.0,0.0,5.0,3.0,8.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,10,2.0,3.0,5.0,7.0,6.0,1.0,5.0,2.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0
2009,11,1.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
2009,12,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,1,0.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2010,2,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
